Month,Value
2020-08-01,15376.091001628174
2020-09-01,15245.420898495
2020-10-01,14643.57639311649
2020-11-01,15325.516682714288
2020-12-01,17036.336189819453
2021-01-01,17540.622524913128
2021-02-01,18861.82538515794
2021-03-01,19967.38934829935
2021-04-01,20481.542093698183
2021-05-01,20524.349477249285
2021-06-01,19710.776992433457
2021-07-01,18253.92328911229
2021-08-01,17104.546398387385
2021-09-01,15674.756392877105
2021-10-01,16068.475581292227
2021-11-01,15686.680799163381
2021-12-01,18352.5468948526
2022-01-01,18880.67286986241
2022-02-01,19714.637302193845
2022-03-01,20781.222927146875
2022-04-01,22035.206056867824
2022-05-01,21355.69155235875
2022-06-01,20801.723865136522
2022-07-01,19256.719314799357
2022-08-01,17559.062930606215
2022-09-01,16149.381200969268
2022-10-01,15488.80754343596
2022-11-01,16500.274352814184
2022-12-01,18325.184321784836
2023-01-01,19579.408681110315
2023-02-01,20424.869304111337
2023-03-01,22307.782252168334
2023-04-01,22891.15115217598
2023-05-01,21930.016839986423
2023-06-01,21426.108784128588
2023-07-01,19953.72747480089
2023-08-01,17928.51485108468
