Month,Value
2015-08-01,13407.194154532415
2015-09-01,14302.025645162947
2015-10-01,14523.832463602168
2015-11-01,13908.044345372247
2015-12-01,14598.316575758534
2016-01-01,14646.651547339075
2016-02-01,14060.25316546453
2016-03-01,15025.418646906839
2016-04-01,15247.111767634313
2016-05-01,15655.703056444043
2016-06-01,15745.13037273919
2016-07-01,14425.922854653218
2016-08-01,14785.795665742471
2016-09-01,15747.286950812893
2016-10-01,15852.63428651213
2016-11-01,15959.725661284841
2016-12-01,18065.57594867611
2017-01-01,16206.756981688959
2017-02-01,16655.07191737562
2017-03-01,16653.85860351689
2017-04-01,16578.2625517536
2017-05-01,16095.293423209687
2017-06-01,18732.43535623179
2017-07-01,17896.932040127664
2017-08-01,18334.15005717786
2017-09-01,20090.30261980455
2017-10-01,20550.933400761347
2017-11-01,22058.353967800787
2017-12-01,19541.460819901535
2018-01-01,21258.30779599987
2018-02-01,19910.92409038719
2018-03-01,20742.278453513725
2018-04-01,21848.143163562065
2018-05-01,21302.93254914182
2018-06-01,20677.223290415113
2018-07-01,21019.01646070392
2018-08-01,22033.204478488307
2018-09-01,21226.558593840986
2018-10-01,21955.059910448137
2018-11-01,21954.47641233595
2018-12-01,21606.30856780725
2019-01-01,23566.401318794236
2019-02-01,22680.511694266395
2019-03-01,21021.069693206286
2019-04-01,22608.677457135826
2019-05-01,22151.870900526214
2019-06-01,23284.23127955624
2019-07-01,22286.057740950877
2019-08-01,22857.93206582983
2019-09-01,23393.872799350458
2019-10-01,23755.94516252251
2019-11-01,22453.016476837583
2019-12-01,23161.311795343237
2020-01-01,23177.933255455162
2020-02-01,23167.75331079796
2020-03-01,24967.116003928597
2020-04-01,24135.3058288501
2020-05-01,23082.522576541127
2020-06-01,25916.80650492893
2020-07-01,26886.749770416587
2020-08-01,26235.305283059166
2020-09-01,24537.502576709943
2020-10-01,25390.2813238074
2020-11-01,26761.95413317969
2020-12-01,25461.654362854628
2021-01-01,26409.052376564974
2021-02-01,26767.809740199722
2021-03-01,25650.66661556575
2021-04-01,26399.669614224822
2021-05-01,24188.657155452813
2021-06-01,25928.13213029469
2021-07-01,26613.72166958374
2021-08-01,25996.36944669558
2021-09-01,28250.640448973543
2021-10-01,26093.933137059976
2021-11-01,26950.37502164226
2021-12-01,27497.666270633
2022-01-01,28604.561837188903
2022-02-01,26557.553019492647
2022-03-01,28643.361439452343
2022-04-01,27891.749960295387
2022-05-01,27257.473600182337
2022-06-01,28481.08348928165
2022-07-01,28402.620548434417
2022-08-01,27910.26988613133
2022-09-01,28548.983034857243
2022-10-01,28319.477631389887
2022-11-01,28829.523375167668
2022-12-01,29381.15358469986
2023-01-01,30229.41113829812
2023-02-01,28140.88735761262
2023-03-01,30916.348306435953
2023-04-01,27819.159047406603
2023-05-01,29365.67067153144
2023-06-01,30078.648879633285
2023-07-01,29960.28832917734
2023-08-01,29363.543110116392
